state,year,children,work,finc,ed
61,1994,1,1,9255.2834008,9
62,1994,0,0,7902.6214575,11
63,1994,0,0,17327.935223,11
64,1994,0,1,3790.48583,11
71,1994,0,1,3898.7854251,10
72,1994,1,1,24568.846154,11
73,1994,1,0,6653.9271255,7
74,1994,1,0,2577.5303644,9
81,1994,2,1,7676.2753036,10
82,1994,1,1,14078.947368,10
83,1994,1,0,4316.8218623,9
84,1994,2,1,18957.84413,11
85,1994,0,0,0,11
86,1994,2,1,6349.6052632,10
87,1994,0,0,14283.633603,9
88,1994,3,1,11351.963563,9
91,1994,2,1,10266.801619,11
92,1994,0,0,7797.5708502,11
93,1994,1,1,10851.619433,7
94,1994,0,1,62034.008097,9
95,1994,3,0,7473.7550607,11
11,1995,2,0,8795.9055118,9
12,1995,1,1,15797.244094,7
13,1995,3,1,13623.543307,10
14,1995,0,0,75133.799213,0
15,1995,1,0,0,10
16,1995,1,1,15797.244094,7
21,1995,3,0,13324.448819,9
22,1995,1,1,26350.856299,7
23,1995,0,1,7898.6220472,7
31,1995,2,0,56684.724409,10
32,1995,0,1,81946.624016,11
33,1995,1,1,22442.61811,11
34,1995,0,0,5802.8543307,11
35,1995,2,1,8151.3779528,11
41,1995,0,1,30175.895669,11
42,1995,0,1,13706.742126,9
43,1995,0,1,17561.269685,11
44,1995,1,0,1174.261811,10
45,1995,5,1,10080.748031,7
46,1995,2,1,54601.594488,10
47,1995,0,1,27381.889764,11
51,1995,3,0,3822.9330709,11
52,1995,0,1,18485.935039,7
53,1995,1,0,4170.4724409,10
54,1995,2,0,17364.330709,11
55,1995,0,1,18106.801181,7
56,1995,0,0,5742.8248031,10
57,1995,2,0,9130.8070866,10
58,1995,0,0,46801.968504,11
59,1995,0,1,63188.976378,0
61,1995,0,0,6192.519685,7
62,1995,0,0,6040.8661417,11
63,1995,0,0,0,11
64,1995,0,1,14423.937008,11
71,1995,0,1,10110.23622,3
72,1995,1,0,1352.2440945,11
73,1995,0,1,5371.0629921,11
74,1995,2,0,42378.740157,7
81,1995,1,0,4246.2992126,10
82,1995,0,0,6192.519685,11
83,1995,1,1,21830.738189,9
84,1995,3,1,5149.9015748,11
85,1995,0,0,21070.364173,11
86,1995,0,1,12253.395669,9
87,1995,0,1,32437.007874,10
88,1995,1,1,16850.393701,10
91,1995,1,1,37755.413386,11
92,1995,2,0,5402.6574803,11
93,1995,1,1,15007.38189,3
94,1995,1,0,0,7
95,1995,1,0,7013.976378,10
11,1996,0,0,8224.4741874,0
12,1996,0,0,11288.193117,7
13,1996,0,1,2520.5353728,9
14,1996,2,1,10745.00956,7
15,1996,1,1,7553.4225621,7
16,1996,1,1,16444.856597,7
21,1996,0,0,10587.476099,9
22,1996,0,1,10865.717017,11
23,1996,0,0,5388.8718929,11
31,1996,0,0,0,7
32,1996,2,0,0,10
33,1996,0,0,4910.1338432,11
34,1996,0,1,10229.445507,11
35,1996,0,1,8328.8145315,10
41,1996,1,0,6837.3613767,11
42,1996,0,0,3682.6003824,7
43,1996,0,0,59379.885277,0
44,1996,0,0,25573.613767,9
45,1996,2,1,3944.4741874,10
46,1996,2,1,26391.969407,3
47,1996,0,1,9411.0898662,11
51,1996,0,0,9040.7839388,11
52,1996,0,1,491.01338432,0
53,1996,0,0,11366.959847,10
54,1996,0,1,12177.131931,10
55,1996,0,0,5941.2619503,7
56,1996,2,1,4296.3671128,11
57,1996,0,1,38794.14914,7
58,1996,2,1,12070.745698,0
59,1996,0,0,32511.223709,11
61,1996,0,0,28591.300191,10
62,1996,1,0,6935.5640535,9
63,1996,1,1,5626.1950287,9
64,1996,3,0,2667.8393881,11
71,1996,0,0,8304.2638623,7
72,1996,0,0,11808.871893,9
73,1996,0,0,6837.3613767,0
74,1996,2,1,3011.5487572,11
81,1996,0,1,1227.5334608,11
82,1996,1,1,37480.688337,7
83,1996,0,0,0,7
84,1996,1,0,0,7
85,1996,3,1,4091.7782027,7
86,1996,0,1,25111.24283,9
87,1996,3,1,10229.445507,7
88,1996,0,0,19039.043977,0
91,1996,0,0,73652.007648,11
92,1996,4,1,13093.690249,9
93,1996,1,0,7723.2313576,11
94,1996,1,1,5114.7227533,11
95,1996,5,1,12561.759082,10
11,1991,0,1,31227.973568,11
11,1991,0,1,8248.8986784,10
11,1991,0,0,16761.762115,7
11,1991,3,0,8046.2114537,10
11,1991,0,0,17482.951542,7
11,1991,1,0,4765.5066079,9
11,1991,2,0,6405.8590308,10
11,1991,1,0,7499.4273128,10
11,1991,0,0,54330.781938,11
11,1991,0,0,7183.6123348,7
11,1991,0,0,9630,7
11,1991,0,1,6143.0726872,7
11,1991,1,1,7424.0088106,9
11,1991,3,0,6405.8590308,11
11,1991,0,1,32382.819383,11
11,1991,1,0,20452.555066,9
11,1991,3,1,7970.7929515,10
12,1991,1,1,6740.5286344,7
12,1991,0,0,2710.3524229,7
12,1991,3,0,8060.3524229,11
12,1991,3,0,20612.819383,10
12,1991,3,1,20612.819383,7
12,1991,0,1,12962.555066,11
12,1991,2,1,22272.026432,11
12,1991,2,0,2432.246696,7
12,1991,1,0,3690.7929515,7
12,1991,1,1,50282.929515,10
12,1991,0,1,18656.651982,7
12,1991,0,1,46853.744493,11
12,1991,1,1,30.63876652,10
12,1991,2,0,7607.8414097,7
12,1991,0,1,8931.2004405,7
12,1991,0,1,11784.140969,7
13,1991,0,0,0,7
13,1991,0,1,13521.123348,7
13,1991,3,0,10648.14978,11
13,1991,0,1,25617.544053,7
13,1991,1,1,12888.314978,7
13,1991,0,0,5656.3876652,7
13,1991,0,1,12374.526432,11
13,1991,1,1,43247.797357,10
13,1991,0,0,9726.6299559,7
13,1991,1,0,4327.1365639,11
13,1991,2,1,7570.1321586,10
13,1991,0,0,7960.1872247,11
13,1991,2,1,8248.8986784,10
13,1991,3,0,10676.431718,7
13,1991,0,0,0,10
14,1991,1,1,24571.112335,7
14,1991,0,1,23568.281938,7
14,1991,0,1,25925.110132,11
14,1991,2,0,6634.4713656,10
14,1991,0,0,24459.162996,7
14,1991,0,0,10397.147577,10
14,1991,1,1,60216.960352,7
14,1991,0,0,5472.5550661,9
14,1991,2,1,28355,0
14,1991,1,0,8116.9162996,9
14,1991,3,0,942.73127753,10
14,1991,0,1,6410.5726872,10
14,1991,0,0,20421.9163,0
14,1991,1,0,6306.8722467,7
14,1991,0,1,5892.0704846,7
14,1991,1,1,14848.017621,11
14,1991,2,0,13437.455947,9
14,1991,2,0,5995.7709251,11
14,1991,2,0,0,11
14,1991,1,1,9427.3127753,3
14,1991,0,0,7353.3039648,3
14,1991,0,0,12927.202643,11
14,1991,0,1,21217.345815,7
14,1991,2,0,8908.8105727,10
14,1991,3,1,24982.378855,10
14,1991,3,0,8939.4493392,11
14,1991,1,1,14140.969163,9
14,1991,0,1,4987.0484581,9
14,1991,2,1,7424.0088106,9
14,1991,1,0,7935.4405286,11
14,1991,0,1,40223.986784,9
14,1991,1,1,41227.995595,10
14,1991,3,0,11095.947137,11
14,1991,0,0,2710.3524229,7
14,1991,0,0,14848.017621,10
14,1991,0,0,3464.5374449,9
14,1991,0,1,40223.986784,9
14,1991,0,1,13433.920705,9
14,1991,3,0,8880.5286344,11
14,1991,0,0,46012.356828,10
14,1991,1,1,5538.5462555,10
14,1991,0,0,631.62995595,7
14,1991,0,0,4713.6563877,10
14,1991,0,1,12962.555066,11
14,1991,4,1,31640.418502,11
14,1991,0,0,11732.290749,7
14,1991,1,0,3280.7048458,10
14,1991,0,0,0,10
14,1991,1,0,39906.993392,3
14,1991,2,1,33745.066079,9
14,1991,0,1,37869.515419,11
14,1991,0,1,55722.488987,3
14,1991,1,0,12585.462555,11
14,1991,6,0,22049.306167,11
14,1991,3,0,9250.5506608,11
14,1991,2,0,9375.4625551,3
14,1991,0,1,3558.8105727,11
14,1991,2,1,54692.555066,0
14,1991,0,0,4694.8017621,7
14,1991,2,1,10134.361233,10
14,1991,0,1,3464.5374449,10
14,1991,1,0,1060.5726872,7
14,1991,5,1,18072.15859,11
14,1991,1,0,7070.4845815,10
14,1991,0,0,14296.519824,3
14,1991,3,0,2715.0660793,0
14,1991,0,1,35763.689427,11
14,1991,3,0,8484.5814978,10
14,1991,2,0,5716.4867841,10
14,1991,0,0,5577.4339207,11
14,1991,1,1,6639.185022,11
14,1991,2,1,28355,7
14,1991,3,0,3535.2422907,11
14,1991,3,0,8578.8546256,7
14,1991,0,1,102398.29295,10
14,1991,0,1,40223.986784,3
14,1991,2,1,52557.268722,3
14,1991,0,1,14140.969163,0
14,1991,0,1,18898.226872,11
15,1991,0,1,12255.506608,3
15,1991,0,1,10978.105727,9
15,1991,0,0,0,7
15,1991,3,1,10591.585903,11
15,1991,1,1,45506.817181,7
15,1991,0,1,24690.132159,11
15,1991,0,0,128229.12996,7
15,1991,0,1,9073.7885463,11
15,1991,0,1,11094.768722,10
15,1991,1,1,13070.969163,7
15,1991,1,0,4525.1101322,3
15,1991,2,0,7834.0969163,9
15,1991,0,1,21178.45815,7
15,1991,2,0,8541.1453744,10
15,1991,2,0,8187.6211454,10
16,1991,1,1,13787.444934,11
16,1991,0,1,85783.832599,7
16,1991,1,0,7763.3920705,11
16,1991,2,1,8248.8986784,11
16,1991,2,1,24247.048458,7
16,1991,1,1,37355.726872,11
16,1991,2,0,5016.5088106,10
16,1991,2,1,9439.0969163,9
16,1991,1,0,5755.3744493,7
16,1991,0,1,25335.903084,10
16,1991,0,0,1767.6211454,7
16,1991,3,0,11312.77533,11
16,1991,0,1,15404.229075,10
16,1991,0,1,31699.339207,11
16,1991,0,1,17096.431718,11
16,1991,1,1,13568.259912,7
16,1991,3,0,9474.4493392,11
16,1991,1,0,7636.123348,11
21,1991,2,1,7356.839207,10
21,1991,0,1,41244.493392,11
21,1991,0,1,86318.832599,11
21,1991,2,0,4157.4449339,11
21,1991,2,0,5317.0044053,11
21,1991,0,0,2445.2092511,10
21,1991,3,1,48197.136564,11
21,1991,2,0,10238.061674,7
21,1991,2,0,5727.092511,7
21,1991,3,0,10414.823789,9
21,1991,4,1,6193.7444934,0
21,1991,0,0,25645.825991,7
21,1991,2,0,7629.0528634,7
21,1991,0,1,36530.837004,11
21,1991,1,1,10652.863436,11
21,1991,0,0,1683.9537445,0
21,1991,2,1,7306.1674009,10
21,1991,2,0,8145.1982379,7
21,1991,0,0,0,0
21,1991,3,0,8739.1189427,7
21,1991,2,0,7466.4317181,7
21,1991,2,0,6617.9735683,7
21,1991,3,0,7659.69163,10
21,1991,3,0,5317.0044053,7
21,1991,2,0,9531.0132159,10
21,1991,1,0,11680.440529,7
21,1991,4,0,13601.255507,7
21,1991,1,0,7070.4845815,7
21,1991,3,0,13716.740088,11
21,1991,0,0,8625.9911894,10
21,1991,0,0,4713.6563877,11
21,1991,1,1,96335.352423,11
21,1991,3,0,8739.1189427,11
21,1991,0,0,0,10
21,1991,2,0,4100.8810573,7
21,1991,0,0,12062.246696,9
21,1991,0,1,23568.281938,10
21,1991,1,1,36177.312775,10
21,1991,4,0,0,7
21,1991,1,0,6257.3788546,10
21,1991,0,1,5892.0704846,11
21,1991,6,0,595.09911894,3
21,1991,3,0,3464.5374449,7
21,1991,1,0,6740.5286344,10
21,1991,0,1,54360.242291,7
21,1991,1,0,6617.9735683,11
21,1991,0,1,24746.696035,11
21,1991,1,0,2941.3215859,9
21,1991,2,1,39106.85022,7
21,1991,6,0,11312.77533,10
21,1991,3,0,4327.1365639,9
21,1991,2,0,472.54405286,11
21,1991,3,1,8370.2753304,11
21,1991,0,1,56601.585903,11
21,1991,2,0,7127.0484581,9
21,1991,2,0,32630.286344,9
21,1991,0,1,40490.30837,11
21,1991,0,1,15368.876652,11
21,1991,0,0,29328.370044,0
21,1991,2,1,17676.211454,11
21,1991,1,0,7108.1938326,9
21,1991,4,0,5656.3876652,9
21,1991,2,1,13651.927313,10
21,1991,0,1,7966.0792952,11
21,1991,1,1,13551.762115,0
21,1991,0,0,61638.127753,7
21,1991,0,1,30049.559471,7
21,1991,0,1,14036.090308,11
21,1991,1,0,4157.4449339,10
21,1991,0,1,14140.969163,7
21,1991,1,0,11850.132159,3
21,1991,0,0,6009.9118943,10
21,1991,1,1,39283.612335,3
21,1991,0,1,5656.3876652,0
21,1991,1,0,3871.0903084,11
21,1991,3,0,3224.1409692,11
21,1991,4,1,10841.409692,11
21,1991,2,0,8145.1982379,7
21,1991,0,0,8248.8986784,3
21,1991,1,1,20016.54185,3
21,1991,3,0,5727.092511,10
21,1991,6,0,1696.9162996,10
21,1991,2,0,2916.5748899,10
21,1991,2,0,7339.1629956,7
21,1991,1,0,6257.3788546,11
21,1991,4,0,4228.1497797,3
21,1991,1,1,4060.814978,11
21,1991,2,0,7607.8414097,0
21,1991,1,0,4383.7004405,11
21,1991,3,1,29130.396476,10
21,1991,0,0,3308.9867841,11
21,1991,2,0,11029.955947,11
21,1991,0,1,10742.422907,11
21,1991,2,1,15182.687225,10
21,1991,2,1,20622.246696,9
21,1991,4,0,15424.262115,7
21,1991,0,0,18253.634361,7
21,1991,2,0,1414.0969163,11
21,1991,0,0,12962.555066,10
21,1991,3,0,6184.3171806,10
21,1991,2,0,62563.182819,7
21,1991,2,1,10860.264317,11
21,1991,0,0,0,9
21,1991,3,1,12962.555066,11
21,1991,1,0,4553.3920705,10
21,1991,3,0,35795.506608,10
21,1991,0,0,71311.729075,7
21,1991,0,0,1923.1718062,10
21,1991,0,0,7127.0484581,7
21,1991,1,1,26804.207048,11
21,1991,0,0,6151.3215859,11
21,1991,1,1,96335.352423,11
21,1991,3,0,4609.9559471,7
21,1991,0,0,6009.9118943,11
21,1991,5,1,8248.8986784,7
21,1991,0,0,0,7
21,1991,0,0,19632.378855,9
21,1991,3,1,13872.290749,11
21,1991,1,0,11199.647577,9
21,1991,2,0,2653.7885463,11
21,1991,3,0,9191.6299559,10
21,1991,1,0,6617.9735683,10
21,1991,0,0,6080.6167401,11
21,1991,2,0,22484.140969,7
21,1991,0,0,17204.845815,11
21,1991,2,0,4694.8017621,10
21,1991,1,0,18241.85022,11
21,1991,2,0,7403.9757709,7
21,1991,2,1,32630.286344,7
21,1991,2,0,2771.6299559,10
21,1991,0,0,5522.0484581,7
21,1991,0,0,4949.339207,7
21,1991,1,1,434.83480176,9
21,1991,4,0,7322.6651982,3
21,1991,3,0,8625.9911894,10
21,1991,1,1,14140.969163,11
21,1991,3,0,2592.5110132,10
21,1991,1,1,8032.0704846,10
21,1991,0,1,22656.189427,7
21,1991,3,0,12472.334802,7
21,1991,0,0,17204.845815,9
21,1991,0,1,13476.343612,11
21,1991,0,1,7720.969163,7
21,1991,2,0,5517.3348018,0
21,1991,3,0,17732.77533,10
21,1991,0,1,7070.4845815,10
21,1991,5,0,8484.5814978,3
21,1991,0,1,3770.9251101,7
21,1991,0,0,7669.1189427,7
21,1991,1,1,14730.176211,7
21,1991,1,0,8597.7092511,7
21,1991,0,1,10742.422907,10
21,1991,2,1,22389.867841,11
21,1991,2,0,7565.4185022,11
21,1991,1,0,11818.314978,11
21,1991,0,0,50907.488987,7
21,1991,1,0,1696.9162996,11
21,1991,0,1,8527.0044053,7
21,1991,0,1,47052.896476,7
21,1991,4,0,6834.8017621,11
21,1991,1,0,6617.9735683,9
21,1991,3,0,9427.3127753,7
21,1991,1,0,6617.9735683,10
21,1991,0,0,12491.189427,7
21,1991,0,0,11242.070485,11
21,1991,0,0,3111.0132159,11
21,1991,2,0,9813.8325991,9
21,1991,0,0,18296.057269,7
21,1991,0,0,6009.9118943,9
21,1991,3,0,7056.3436123,11
21,1991,0,0,6617.9735683,9
21,1991,1,0,4906.9162996,11
21,1991,0,1,32995.594714,7
21,1991,3,0,9799.69163,11
21,1991,2,1,22448.788546,9
21,1991,2,0,9700.7048458,11
21,1991,0,0,8503.4361233,9
21,1991,2,0,9427.3127753,9
21,1991,0,1,61001.784141,11
21,1991,1,0,5392.4229075,9
21,1991,1,0,0,11
21,1991,2,0,7070.4845815,7
21,1991,2,0,6245.5947137,10
21,1991,0,1,8838.1057269,11
21,1991,3,0,9474.4493392,10
21,1991,1,1,8955.9471366,7
21,1991,3,1,21005.231278,11
21,1991,0,0,49128.0837,11
21,1991,0,0,6852.4779736,10
21,1991,0,0,7183.6123348,11
21,1991,0,1,19208.14978,11
21,1991,1,1,21211.453744,7
21,1991,1,0,4807.9295154,11
21,1991,4,0,0,10
21,1991,0,1,8734.4052863,7
21,1991,2,1,13207.665198,11
21,1991,0,1,8831.0352423,7
21,1991,1,1,14140.969163,10
21,1991,0,1,24069.10793,7
21,1991,0,1,32482.984581,9
21,1991,0,0,0,10
21,1991,0,0,8640.1321586,7
21,1991,1,0,2743.3480176,11
21,1991,5,0,12500.61674,7
21,1991,0,0,21979.779736,10
21,1991,0,0,6009.9118943,11
21,1991,1,1,36530.837004,7
21,1991,0,0,10266.343612,7
21,1991,4,0,7077.5550661,9
21,1991,1,0,2121.1453744,7
21,1991,0,1,17676.211454,7
21,1991,0,1,11784.140969,11
21,1991,0,1,28694.38326,10
21,1991,1,0,0,7
21,1991,3,0,9630,11
21,1991,2,0,7452.2907489,11
21,1991,0,0,0,10
21,1991,0,1,5892.0704846,11
21,1991,4,0,10916.828194,10
21,1991,1,0,7070.4845815,7
21,1991,3,1,13147.566079,7
21,1991,0,0,41544.988987,7
21,1991,1,0,6292.7312775,9
21,1991,1,0,2187.1365639,11
21,1991,1,0,53203.039648,10
21,1991,3,0,10723.568282,11
21,1991,3,0,10860.264317,11
21,1991,2,0,19335.418502,9
21,1991,0,1,31777.114537,0
21,1991,0,1,30285.242291,11
21,1991,3,0,4609.9559471,0
21,1991,1,0,8201.7621145,9
21,1991,2,1,23721.475771,7
21,1991,1,0,2121.1453744,11
21,1991,4,0,9474.4493392,9
21,1991,2,1,23602.455947,11
21,1991,0,1,47160.132159,10
21,1991,1,1,11903.160793,9
21,1991,1,0,13801.585903,9
21,1991,1,1,17322.687225,10
21,1991,2,1,85803.865639,7
21,1991,1,0,55551.618943,10
21,1991,4,0,9842.1145374,11
21,1991,0,0,4713.6563877,10
21,1991,3,0,3398.5462555,7
21,1991,0,1,17676.211454,11
21,1991,0,1,12663.237885,3
21,1991,0,1,49493.39207,11
21,1991,2,1,13198.237885,0
21,1991,0,1,25538.590308,7
21,1991,0,0,11435.330396,3
21,1991,0,1,33535.30837,7
21,1991,1,0,29460.352423,7
21,1991,0,1,15319.38326,7
21,1991,1,1,27820,7
21,1991,0,0,6914.9339207,9
21,1991,1,0,8597.7092511,10
21,1991,4,1,61866.740088,7
21,1991,0,0,14140.969163,11
21,1991,2,1,23721.475771,3
21,1991,1,0,5232.1585903,11
21,1991,2,0,4355.4185022,3
21,1991,2,0,4694.8017621,11
21,1991,2,1,52059.977974,7
21,1991,0,0,6757.0264317,10
21,1991,3,0,6787.6651982,11
21,1991,4,0,10987.53304,9
21,1991,0,0,58421.057269,7
21,1991,3,0,0,7
21,1991,3,0,8173.4801762,0
21,1991,1,1,18854.625551,10
21,1991,2,1,21211.453744,10
21,1991,0,0,12019.823789,9
21,1991,2,0,8809.8237885,10
21,1991,1,1,8126.3436123,7
21,1991,3,0,7716.2555066,9
21,1991,4,0,8399.7356828,11
21,1991,1,0,6617.9735683,3
21,1991,0,0,24741.982379,11
21,1991,1,1,11850.132159,3
21,1991,0,1,6295.0881057,7
21,1991,1,1,31646.310573,3
21,1991,2,0,8145.1982379,11
21,1991,2,0,9700.7048458,7
21,1991,0,0,95360.803965,10
21,1991,1,1,3535.2422907,10
21,1991,3,0,10506.740088,9
21,1991,1,1,11784.140969,10
21,1991,1,1,27103.524229,11
21,1991,0,1,5682.3127753,7
21,1991,2,1,29460.352423,11
21,1991,0,0,10252.202643,9
21,1991,2,0,9531.0132159,7
21,1991,1,0,0,7
21,1991,3,0,4842.1035242,11
21,1991,0,1,17676.211454,11
21,1991,3,0,9700.7048458,11
21,1991,4,0,1531.938326,11
21,1991,2,0,388.87665198,10
21,1991,0,1,15329.988987,7
22,1991,0,1,7659.69163,11
22,1991,0,0,0,9
22,1991,0,1,58331.497797,7
22,1991,1,1,11784.140969,10
22,1991,2,0,4553.3920705,9
22,1991,2,1,27136.519824,9
22,1991,0,0,22300.30837,9
22,1991,2,1,24746.696035,10
22,1991,0,1,31744.118943,11
22,1991,0,1,7541.8502203,11
22,1991,0,1,45890.980176,11
22,1991,2,0,5995.7709251,9
22,1991,2,0,0,11
22,1991,0,1,18000.27533,7
22,1991,3,0,7254.3171806,10
22,1991,0,0,2710.3524229,7
22,1991,0,1,7836.4537445,11
22,1991,2,0,5578.6123348,11
22,1991,0,0,11784.140969,9
22,1991,0,1,29936.431718,7
22,1991,0,1,16969.162996,10
22,1991,0,0,4242.2907489,9
22,1991,0,1,77539.647577,9
22,1991,0,1,41303.414097,11
22,1991,0,0,1956.1674009,10
22,1991,3,1,5513.7995595,11
22,1991,0,1,12094.063877,7
22,1991,0,1,22236.674009,9
22,1991,2,1,80250,11
22,1991,4,0,14990.605727,10
22,1991,2,0,6172.5330396,7
22,1991,1,1,53801.674009,11
22,1991,0,0,2710.3524229,7
22,1991,5,0,7070.4845815,10
22,1991,0,0,121479.17401,10
22,1991,1,0,6005.1982379,7
22,1991,1,1,47891.927313,11
22,1991,2,0,5656.3876652,11
22,1991,0,1,20068.39207,11
22,1991,1,0,4553.3920705,9
22,1991,0,0,589.20704846,7
22,1991,0,1,55149.779736,10
22,1991,0,0,24341.321586,11
22,1991,0,1,10417.180617,7
22,1991,0,1,135082.78634,11
22,1991,0,1,117027.12555,11
