year,id,age,childs,sibs,degree,race,sex,region,income16,relig,marital,padeg,madeg,partyid,polviews,happy,partners,grass,zodiac,pres12,wtssall,income_rc,agegrp,ageq,siblings,kids,religion,bigregion,partners_rc,obama
2016,16,33,2,1,High School,White,Female,New England,19,Other,Never Married,High School,NA,Independent,4,Pretty Happy,1 Partner,Legal,Taurus,1,0.956993511490439,Gt $50000,Age 18-35,Age 18-34,1,2,Other,Northeast,1,1
2016,17,56,6,3,High School,White,Male,New England,19,Protestant,Married,Lt High School,Lt High School,NA,6,Very Happy,No Partners,Legal,Cancer,2,1.913987022980878,Gt $50000,Age 55-65,Age 49-62,3,4+,Protestant,Northeast,0,0
2016,18,62,5,8,Lt High School,Other,Female,New England,5,Protestant,Widowed,NA,Lt High School,Strong Democrat,3,Pretty Happy,NA,Legal,Pisces,1,0.4784967557452195,Gt $0,Age 55-65,Age 49-62,6+,4+,Protestant,Northeast,NA,1
2016,19,31,0,2,Graduate,Black,Male,New England,17,None,Never Married,High School,Junior College,"Ind,near Dem",2,Pretty Happy,2 Partners,Legal,Sagittarius,1,0.4784967557452195,Gt $35000,Age 18-35,Age 18-34,2,0,None,Northeast,2,1
2016,20,43,2,0,High School,Black,Male,New England,15,Protestant,Divorced,Bachelor,Bachelor,Strong Democrat,2,Pretty Happy,NA,NA,Gemini,1,0.7821816814876192,Gt $25000,Age 35-45,Age 34-49,0,2,Protestant,Northeast,NA,1
2016,21,58,0,1,High School,White,Female,New England,22,Catholic,Never Married,High School,High School,Strong Democrat,2,Pretty Happy,No Partners,Legal,Leo,1,0.956993511490439,Gt $90000,Age 55-65,Age 49-62,1,0,Catholic,Northeast,0,1
2016,22,32,3,4,Lt High School,Black,Female,Middle Atlantic,18,None,Never Married,High School,High School,Independent,5,Pretty Happy,1 Partner,Legal,Pisces,NA,1.5643633629752385,Gt $40000,Age 18-35,Age 18-34,4,3,None,Northeast,1,NA
2016,23,23,2,2,Lt High School,Other,Female,Middle Atlantic,14,None,Never Married,NA,Lt High School,"Ind,near Dem",3,Very Happy,1 Partner,Not Legal,Virgo,NA,1.5643633629752385,Gt $20000,Age 18-35,Age 18-34,2,2,None,Northeast,1,NA
2016,24,37,2,2,High School,White,Female,Middle Atlantic,20,Catholic,Married,High School,High School,Independent,7,Very Happy,1 Partner,Legal,Cancer,NA,1.5643633629752385,Gt $60000,Age 35-45,Age 34-49,2,2,Catholic,Northeast,1,NA
2016,25,25,2,2,Junior College,White,Female,Middle Atlantic,13,Catholic,Divorced,High School,NA,"Ind,near Rep",2,Pretty Happy,3 Partners,Not Legal,Libra,NA,0.4784967557452195,Gt $20000,Age 18-35,Age 18-34,2,2,Catholic,Northeast,3,NA
2016,26,76,8,7,Lt High School,White,Female,Middle Atlantic,5,Protestant,Separated,NA,NA,Strong Democrat,NA,Not Too Happy,No Partners,Not Legal,Sagittarius,1,0.956993511490439,Gt $0,Age 65+,Age 62+,6+,4+,Protestant,Northeast,0,1
2016,27,71,2,1,Graduate,White,Male,Middle Atlantic,NA,Jewish,Married,High School,High School,Strong Democrat,2,Very Happy,NA,NA,Cancer,1,1.5643633629752385,NA,Age 65+,Age 62+,1,2,Jewish,Northeast,NA,1
2016,28,22,0,0,High School,Black,Male,Middle Atlantic,NA,None,Never Married,High School,High School,Independent,4,Not Too Happy,2 Partners,Legal,Scorpio,NA,1.4354902672356584,NA,Age 18-35,Age 18-34,0,0,None,Northeast,2,NA
2016,29,74,2,1,Graduate,White,Male,Middle Atlantic,23,Jewish,Widowed,Bachelor,High School,Not Str Democrat,4,Pretty Happy,NA,Not Legal,Leo,1,0.4784967557452195,Gt $110000,Age 65+,Age 62+,1,2,Jewish,Northeast,NA,1
2016,30,75,3,7,High School,White,Female,Middle Atlantic,16,Orthodox-Christian,Divorced,High School,NA,"Ind,near Rep",6,Not Too Happy,No Partners,Legal,Sagittarius,2,0.4784967557452195,Gt $30000,Age 65+,Age 62+,6+,3,Other,Northeast,0,0
2016,31,32,0,2,High School,White,Male,Middle Atlantic,17,None,Never Married,High School,High School,"Ind,near Dem",2,Not Too Happy,No Partners,Legal,Leo,1,2.3924837787260973,Gt $35000,Age 18-35,Age 18-34,2,0,None,Northeast,0,1
2016,32,68,2,3,High School,White,Female,Middle Atlantic,20,Catholic,Married,High School,High School,Independent,4,Pretty Happy,1 Partner,Legal,Gemini,1,0.956993511490439,Gt $60000,Age 65+,Age 62+,3,2,Catholic,Northeast,1,1
2016,33,55,3,7,High School,White,Male,Middle Atlantic,25,None,Married,NA,High School,"Ind,near Rep",5,Pretty Happy,NA,NA,Aries,1,2.3465450444628577,Gt $150000,Age 45-55,Age 49-62,6+,3,None,Northeast,NA,1
2016,34,46,1,0,High School,Black,Male,Middle Atlantic,21,Protestant,Married,High School,Bachelor,Not Str Democrat,5,Pretty Happy,1 Partner,Legal,Sagittarius,NA,0.956993511490439,Gt $75000,Age 45-55,Age 34-49,0,1,Protestant,Northeast,1,NA
2016,35,58,2,0,High School,White,Female,Middle Atlantic,18,Catholic,Separated,Lt High School,High School,Strong Democrat,4,Not Too Happy,NA,NA,Scorpio,1,0.956993511490439,Gt $40000,Age 55-65,Age 49-62,0,2,Catholic,Northeast,NA,1
2016,36,35,0,1,High School,White,Male,Middle Atlantic,22,None,Never Married,NA,High School,Strong Republican,6,Not Too Happy,No Partners,Not Legal,Gemini,2,1.5643633629752385,Gt $90000,Age 18-35,Age 34-49,1,0,None,Northeast,0,0
2016,37,59,2,2,Bachelor,White,Male,Middle Atlantic,21,Catholic,Married,High School,High School,"Ind,near Dem",6,Not Too Happy,1 Partner,Legal,Pisces,1,1.913987022980878,Gt $75000,Age 55-65,Age 49-62,2,2,Catholic,Northeast,1,1
2016,38,43,2,6,Bachelor,White,Female,Middle Atlantic,23,Protestant,Married,NA,Bachelor,Independent,4,Pretty Happy,NA,NA,Gemini,1,0.956993511490439,Gt $110000,Age 35-45,Age 34-49,6+,2,Protestant,Northeast,NA,1
2016,39,58,0,1,Bachelor,White,Female,Middle Atlantic,23,Protestant,Never Married,Bachelor,Bachelor,Strong Republican,6,Very Happy,No Partners,Not Legal,Aquarius,2,0.4784967557452195,Gt $110000,Age 55-65,Age 49-62,1,0,Protestant,Northeast,0,0
2016,40,79,1,3,High School,White,Female,Middle Atlantic,16,Jewish,Widowed,Lt High School,NA,Strong Democrat,4,Pretty Happy,No Partners,Legal,Taurus,1,0.4784967557452195,Gt $30000,Age 65+,Age 62+,3,1,Jewish,Northeast,0,1
2016,41,40,1,2,High School,White,Female,Middle Atlantic,18,Protestant,Never Married,NA,High School,"Ind,near Dem",7,Pretty Happy,1 Partner,Legal,Gemini,NA,0.956993511490439,Gt $40000,Age 35-45,Age 34-49,2,1,Protestant,Northeast,1,NA
2016,42,44,2,9,High School,Other,Female,Middle Atlantic,17,Catholic,Married,NA,Lt High School,Strong Democrat,4,Not Too Happy,NA,NA,NA,NA,0.956993511490439,Gt $35000,Age 35-45,Age 34-49,6+,2,Catholic,Northeast,NA,NA
2016,43,68,2,3,Bachelor,Other,Female,Middle Atlantic,22,None,Married,High School,Bachelor,Not Str Republican,4,Pretty Happy,1 Partner,NA,Aquarius,NA,0.956993511490439,Gt $90000,Age 65+,Age 62+,3,2,None,Northeast,1,NA
2016,44,36,0,1,Graduate,White,Female,Middle Atlantic,16,None,Never Married,Graduate,Graduate,Not Str Democrat,2,Not Too Happy,2 Partners,Legal,NA,NA,0.4784967557452195,Gt $30000,Age 35-45,Age 34-49,1,0,None,Northeast,2,NA
2016,45,70,0,1,High School,White,Male,Middle Atlantic,10,Jewish,Divorced,High School,NA,Not Str Republican,4,Very Happy,No Partners,Not Legal,Aquarius,2,0.7821816814876192,Gt $10000,Age 65+,Age 62+,1,0,Jewish,Northeast,0,0
2016,46,28,0,8,High School,White,Male,Middle Atlantic,21,None,Never Married,High School,Bachelor,Strong Democrat,1,Very Happy,No Partners,Legal,Aries,1,0.4784967557452195,Gt $75000,Age 18-35,Age 18-34,6+,0,None,Northeast,0,1
2016,47,35,0,4,Bachelor,Black,Female,Middle Atlantic,NA,Catholic,Never Married,High School,High School,Not Str Democrat,2,Pretty Happy,1 Partner,Not Legal,Libra,1,0.7821816814876192,NA,Age 18-35,Age 34-49,4,0,Catholic,Northeast,1,1
2016,48,33,0,1,Graduate,Other,Male,Middle Atlantic,19,None,Married,Bachelor,High School,"Ind,near Dem",1,Not Too Happy,NA,NA,Sagittarius,NA,0.956993511490439,Gt $50000,Age 18-35,Age 18-34,1,0,None,Northeast,NA,NA
2016,49,23,0,1,Bachelor,White,Male,Middle Atlantic,16,Jewish,Never Married,Graduate,Graduate,Independent,3,Pretty Happy,2 Partners,Legal,Capricorn,2,0.956993511490439,Gt $30000,Age 18-35,Age 18-34,1,0,Jewish,Northeast,2,0
2016,50,47,0,0,Graduate,White,Female,Middle Atlantic,23,Protestant,Divorced,NA,Graduate,Strong Democrat,1,Very Happy,1 Partner,Legal,Scorpio,1,0.4784967557452195,Gt $110000,Age 45-55,Age 34-49,0,0,Protestant,Northeast,1,1
2016,51,25,0,1,Bachelor,Other,Female,Middle Atlantic,24,None,Never Married,Graduate,Bachelor,Not Str Democrat,2,Very Happy,1 Partner,Legal,Sagittarius,NA,1.5643633629752385,Gt $130000,Age 18-35,Age 18-34,1,0,None,Northeast,1,NA
2016,52,70,2,1,High School,White,Female,Middle Atlantic,21,Jewish,Married,High School,High School,Strong Democrat,1,Pretty Happy,NA,NA,Taurus,1,1.5643633629752385,Gt $75000,Age 65+,Age 62+,1,2,Jewish,Northeast,NA,1
2016,53,20,0,3,High School,White,Male,Middle Atlantic,NA,Catholic,Never Married,Bachelor,Bachelor,Not Str Republican,5,Very Happy,2 Partners,Legal,Sagittarius,NA,1.4354902672356584,NA,Age 18-35,Age 18-34,3,0,Catholic,Northeast,2,NA
2016,54,41,2,1,Graduate,White,Male,Middle Atlantic,26,Catholic,Married,High School,High School,"Ind,near Rep",4,Very Happy,1 Partner,Not Legal,Aries,NA,1.5643633629752385,Gt $170000,Age 35-45,Age 34-49,1,2,Catholic,Northeast,1,NA
2016,55,53,3,5,Bachelor,White,Female,Middle Atlantic,NA,Catholic,Married,High School,High School,Strong Republican,6,Very Happy,NA,NA,Pisces,2,1.913987022980878,NA,Age 45-55,Age 49-62,5,3,Catholic,Northeast,NA,0
2016,56,42,2,1,Bachelor,White,Female,Middle Atlantic,25,Catholic,Married,High School,High School,"Ind,near Dem",1,Pretty Happy,1 Partner,Legal,Taurus,1,0.956993511490439,Gt $150000,Age 35-45,Age 34-49,1,2,Catholic,Northeast,1,1
2016,57,40,3,1,Graduate,White,Female,Middle Atlantic,21,Jewish,Divorced,Bachelor,High School,Not Str Democrat,4,Pretty Happy,4 Partners,Not Legal,Aquarius,1,0.4784967557452195,Gt $75000,Age 35-45,Age 34-49,1,3,Jewish,Northeast,4+,1
2016,58,57,2,2,Graduate,White,Female,Middle Atlantic,20,Jewish,Divorced,Bachelor,Graduate,Not Str Democrat,3,Pretty Happy,No Partners,Not Legal,Aquarius,1,0.4784967557452195,Gt $60000,Age 55-65,Age 49-62,2,2,Jewish,Northeast,0,1
2016,59,59,2,1,Graduate,White,Female,Middle Atlantic,8,Jewish,Divorced,Graduate,Graduate,Strong Democrat,2,Pretty Happy,1 Partner,Legal,Cancer,2,0.7821816814876192,Gt $0,Age 55-65,Age 49-62,1,2,Jewish,Northeast,1,0
2016,60,35,3,4,Lt High School,White,Female,Middle Atlantic,10,Catholic,Never Married,NA,Lt High School,Strong Democrat,5,Pretty Happy,NA,NA,Sagittarius,1,1.5643633629752385,Gt $10000,Age 18-35,Age 34-49,4,3,Catholic,Northeast,NA,1
2016,61,26,0,2,High School,Black,Male,Middle Atlantic,13,Protestant,Never Married,NA,Junior College,Independent,4,Pretty Happy,No Partners,Not Legal,Pisces,1,0.4784967557452195,Gt $20000,Age 18-35,Age 18-34,2,0,Protestant,Northeast,0,1
2016,62,35,2,3,High School,Black,Male,Middle Atlantic,1,Protestant,Widowed,High School,High School,Independent,6,Not Too Happy,No Partners,Not Legal,Cancer,NA,0.956993511490439,Gt $0,Age 18-35,Age 34-49,3,2,Protestant,Northeast,0,NA
2016,63,51,3,9,High School,Black,Female,Middle Atlantic,8,Protestant,Separated,NA,High School,Independent,4,NA,NA,NA,NA,1,0.4784967557452195,Gt $0,Age 45-55,Age 49-62,6+,3,Protestant,Northeast,NA,1
2016,64,39,3,10,High School,Black,Female,Middle Atlantic,15,Protestant,Divorced,High School,High School,Not Str Democrat,3,Not Too Happy,1 Partner,Legal,Cancer,1,0.956993511490439,Gt $25000,Age 35-45,Age 34-49,6+,3,Protestant,Northeast,1,1
2016,65,27,2,2,High School,Other,Female,Middle Atlantic,2,Protestant,Never Married,NA,Lt High School,Not Str Democrat,4,Pretty Happy,NA,NA,Aquarius,NA,0.4784967557452195,Gt $0,Age 18-35,Age 18-34,2,2,Protestant,Northeast,NA,NA
2016,66,30,2,5,Lt High School,Other,Male,Middle Atlantic,16,Catholic,Never Married,High School,Bachelor,Strong Democrat,7,Pretty Happy,1 Partner,Legal,Pisces,1,0.956993511490439,Gt $30000,Age 18-35,Age 18-34,5,2,Catholic,Northeast,1,1
2016,67,29,2,2,High School,Other,Male,Middle Atlantic,14,None,Never Married,NA,Lt High School,"Ind,near Rep",3,Pretty Happy,5-10 Partners,Legal,Leo,NA,0.956993511490439,Gt $20000,Age 18-35,Age 18-34,2,2,None,Northeast,4+,NA
2016,68,39,6,0,Lt High School,Black,Female,Middle Atlantic,1,None,Never Married,NA,NA,Not Str Democrat,7,Not Too Happy,NA,NA,Aquarius,1,0.4784967557452195,Gt $0,Age 35-45,Age 34-49,0,4+,None,Northeast,NA,1
2016,69,60,3,10,Lt High School,Black,Female,Middle Atlantic,NA,Protestant,Divorced,Lt High School,NA,Strong Democrat,5,Pretty Happy,NA,NA,NA,NA,2.3465450444628577,NA,Age 55-65,Age 49-62,6+,3,Protestant,Northeast,NA,NA
2016,70,74,4,8,Lt High School,Other,Female,Middle Atlantic,12,Catholic,Widowed,Lt High School,Lt High School,Not Str Democrat,4,Not Too Happy,NA,NA,Cancer,1,0.4784967557452195,Gt $15000,Age 65+,Age 62+,6+,4+,Catholic,Northeast,NA,1
2016,71,74,5,8,Lt High School,Black,Female,Middle Atlantic,10,Protestant,Never Married,Lt High School,Lt High School,Not Str Democrat,NA,Not Too Happy,NA,NA,Gemini,NA,0.4784967557452195,Gt $10000,Age 65+,Age 62+,6+,4+,Protestant,Northeast,NA,NA
2016,72,57,2,4,Bachelor,Black,Female,Middle Atlantic,22,Protestant,Divorced,Bachelor,Graduate,Strong Democrat,4,Very Happy,NA,NA,NA,1,0.7821816814876192,Gt $90000,Age 55-65,Age 49-62,4,2,Protestant,Northeast,NA,1
2016,73,80,1,13,High School,Black,Male,Middle Atlantic,19,None,Widowed,NA,Junior College,Not Str Democrat,4,Pretty Happy,NA,NA,Aquarius,1,0.7821816814876192,Gt $50000,Age 65+,Age 62+,6+,1,None,Northeast,NA,1
2016,74,70,4,6,High School,Black,Male,Middle Atlantic,14,None,Divorced,NA,Lt High School,Strong Democrat,5,Not Too Happy,1 Partner,Legal,Aries,1,0.4784967557452195,Gt $20000,Age 65+,Age 62+,6+,4+,None,Northeast,1,1
2016,75,35,2,1,Bachelor,Black,Female,Middle Atlantic,21,None,Married,High School,Lt High School,"Ind,near Dem",3,Very Happy,NA,NA,Capricorn,1,1.5643633629752385,Gt $75000,Age 18-35,Age 34-49,1,2,None,Northeast,NA,1
2016,76,49,4,6,Lt High School,Black,Female,Middle Atlantic,NA,Catholic,Never Married,NA,NA,Independent,2,Not Too Happy,NA,Legal,Aries,NA,0.7821816814876192,NA,Age 45-55,Age 34-49,6+,4+,Catholic,Northeast,NA,NA
2016,77,36,0,2,Graduate,White,Female,Middle Atlantic,19,Protestant,Never Married,Graduate,Graduate,Not Str Democrat,1,Pretty Happy,NA,NA,Sagittarius,1,0.4784967557452195,Gt $50000,Age 35-45,Age 34-49,2,0,Protestant,Northeast,NA,1
2016,78,37,0,1,Graduate,Black,Female,Middle Atlantic,20,Protestant,Never Married,Graduate,Graduate,Strong Democrat,1,Pretty Happy,NA,NA,Taurus,1,0.7821816814876192,Gt $60000,Age 35-45,Age 34-49,1,0,Protestant,Northeast,NA,1
2016,79,78,0,1,Graduate,White,Female,Middle Atlantic,26,Protestant,Widowed,Graduate,Bachelor,Strong Democrat,1,Very Happy,1 Partner,Legal,Aries,1,0.956993511490439,Gt $170000,Age 65+,Age 62+,1,0,Protestant,Northeast,1,1
2016,80,41,0,2,High School,Black,Male,Middle Atlantic,NA,None,Never Married,NA,High School,NA,NA,Very Happy,NA,Not Legal,Aries,1,1.5643633629752385,NA,Age 35-45,Age 34-49,2,0,None,Northeast,NA,1
2016,81,42,2,0,Junior College,Other,Male,Middle Atlantic,26,None,Married,Lt High School,Lt High School,Not Str Democrat,3,Pretty Happy,NA,NA,Taurus,1,0.956993511490439,Gt $170000,Age 35-45,Age 34-49,0,2,None,Northeast,NA,1
2016,82,35,1,1,Junior College,White,Female,Middle Atlantic,20,None,Separated,NA,High School,Other Party,5,Not Too Happy,4 Partners,Legal,Cancer,2,0.4784967557452195,Gt $60000,Age 18-35,Age 34-49,1,1,None,Northeast,4+,0
2016,83,33,1,2,Bachelor,White,Male,Middle Atlantic,25,Catholic,Married,Bachelor,Junior College,"Ind,near Rep",5,Very Happy,NA,NA,Sagittarius,NA,1.5643633629752385,Gt $150000,Age 18-35,Age 18-34,2,1,Catholic,Northeast,NA,NA
2016,84,44,3,2,High School,White,Male,Middle Atlantic,25,Catholic,Divorced,High School,High School,"Ind,near Rep",4,Very Happy,1 Partner,Legal,Capricorn,NA,1.5643633629752385,Gt $150000,Age 35-45,Age 34-49,2,3,Catholic,Northeast,1,NA
2016,85,41,3,1,Junior College,White,Male,Middle Atlantic,20,Protestant,Married,High School,High School,Not Str Democrat,4,Pretty Happy,1 Partner,Legal,Taurus,NA,1.5643633629752385,Gt $60000,Age 35-45,Age 34-49,1,3,Protestant,Northeast,1,NA
2016,86,52,2,0,High School,White,Male,Middle Atlantic,18,None,Divorced,High School,High School,Strong Republican,4,Pretty Happy,NA,NA,Taurus,2,0.7821816814876192,Gt $40000,Age 45-55,Age 49-62,0,2,None,Northeast,NA,0
2016,87,45,0,6,Bachelor,White,Female,Middle Atlantic,21,Protestant,Never Married,High School,High School,"Ind,near Rep",4,Pretty Happy,1 Partner,Legal,Virgo,1,0.4784967557452195,Gt $75000,Age 35-45,Age 34-49,6+,0,Protestant,Northeast,1,1
2016,88,41,1,3,High School,Other,Female,Middle Atlantic,14,Catholic,Divorced,High School,Lt High School,"Ind,near Dem",4,Pretty Happy,NA,NA,Leo,NA,1.5643633629752385,Gt $20000,Age 35-45,Age 34-49,3,1,Catholic,Northeast,NA,NA
2016,89,41,3,10,High School,White,Female,Middle Atlantic,14,Catholic,Separated,Lt High School,Lt High School,"Ind,near Dem",NA,Very Happy,1 Partner,Not Legal,Taurus,NA,2.3465450444628577,Gt $20000,Age 35-45,Age 34-49,6+,3,Catholic,Northeast,1,NA
2016,90,68,0,3,High School,White,Male,Middle Atlantic,NA,Jewish,Never Married,High School,Lt High School,"Ind,near Dem",3,Pretty Happy,NA,Not Legal,Virgo,NA,0.4784967557452195,NA,Age 65+,Age 62+,3,0,Jewish,Northeast,NA,NA
2016,91,57,3,1,High School,Black,Female,Middle Atlantic,14,None,Never Married,High School,Junior College,Not Str Democrat,4,Pretty Happy,No Partners,Legal,Pisces,1,0.4784967557452195,Gt $20000,Age 55-65,Age 49-62,1,3,None,Northeast,0,1
2016,92,72,3,5,Graduate,Black,Male,Middle Atlantic,24,None,Married,NA,High School,Not Str Democrat,1,Very Happy,1 Partner,Legal,Sagittarius,1,1.4354902672356584,Gt $130000,Age 65+,Age 62+,5,3,None,Northeast,1,1
2016,93,68,0,5,Graduate,White,Male,Middle Atlantic,15,Catholic,Divorced,Lt High School,Lt High School,Independent,NA,Pretty Happy,NA,NA,Leo,1,0.7821816814876192,Gt $25000,Age 65+,Age 62+,5,0,Catholic,Northeast,NA,1
2016,94,50,0,1,Bachelor,White,Male,Middle Atlantic,22,None,Never Married,NA,High School,"Ind,near Dem",3,Pretty Happy,2 Partners,Legal,Aquarius,1,0.4784967557452195,Gt $90000,Age 45-55,Age 49-62,1,0,None,Northeast,2,1
2016,95,40,0,2,Graduate,White,Male,Middle Atlantic,24,Other,Never Married,High School,High School,"Ind,near Dem",3,Pretty Happy,11-20 Partners,Legal,Taurus,1,0.4784967557452195,Gt $130000,Age 35-45,Age 34-49,2,0,Other,Northeast,4+,1
2016,96,58,0,2,High School,White,Male,Middle Atlantic,19,Protestant,Never Married,Lt High School,High School,Other Party,1,Pretty Happy,No Partners,Legal,Libra,1,0.4784967557452195,Gt $50000,Age 55-65,Age 49-62,2,0,Protestant,Northeast,0,1
2016,97,43,0,0,High School,White,Male,Middle Atlantic,13,Catholic,Never Married,NA,Graduate,Not Str Democrat,1,Pretty Happy,11-20 Partners,Legal,Pisces,NA,0.4784967557452195,Gt $20000,Age 35-45,Age 34-49,0,0,Catholic,Northeast,4+,NA
2016,98,25,0,2,Bachelor,Black,Male,Middle Atlantic,6,Protestant,Never Married,Graduate,Bachelor,"Ind,near Dem",4,Very Happy,No Partners,Legal,Scorpio,NA,0.956993511490439,Gt $0,Age 18-35,Age 18-34,2,0,Protestant,Northeast,0,NA
2016,99,33,0,2,Graduate,Other,Male,Middle Atlantic,17,None,Never Married,Bachelor,Bachelor,Independent,3,Pretty Happy,No Partners,NA,Virgo,NA,0.4784967557452195,Gt $35000,Age 18-35,Age 18-34,2,0,None,Northeast,0,NA
2016,100,27,0,0,Bachelor,White,Male,Middle Atlantic,26,None,Never Married,NA,Bachelor,"Ind,near Dem",3,Pretty Happy,NA,Not Legal,Taurus,1,0.956993511490439,Gt $170000,Age 18-35,Age 18-34,0,0,None,Northeast,NA,1
2016,101,58,2,9,Bachelor,Black,Female,Middle Atlantic,19,Protestant,Married,NA,Lt High School,Not Str Democrat,4,Pretty Happy,1 Partner,Not Legal,Pisces,1,1.913987022980878,Gt $50000,Age 55-65,Age 49-62,6+,2,Protestant,Northeast,1,1
2016,102,66,4,2,High School,White,Female,Middle Atlantic,23,Catholic,Married,High School,High School,"Ind,near Dem",4,Pretty Happy,1 Partner,Legal,Pisces,1,0.956993511490439,Gt $110000,Age 65+,Age 62+,2,4+,Catholic,Northeast,1,1
2016,103,66,0,3,High School,White,Male,Middle Atlantic,2,Catholic,Separated,High School,High School,"Ind,near Dem",4,Pretty Happy,NA,NA,Aquarius,NA,0.4784967557452195,Gt $0,Age 65+,Age 62+,3,0,Catholic,Northeast,NA,NA
2016,104,89,2,3,High School,White,Female,Middle Atlantic,NA,Catholic,Widowed,Lt High School,Lt High School,"Ind,near Dem",4,Pretty Happy,NA,Legal,Taurus,1,0.7821816814876192,NA,Age 65+,Age 62+,3,2,Catholic,Northeast,NA,1
2016,105,29,2,2,Junior College,Other,Female,Middle Atlantic,20,Catholic,Married,NA,Junior College,"Ind,near Dem",1,Pretty Happy,1 Partner,Legal,Sagittarius,1,1.4354902672356584,Gt $60000,Age 18-35,Age 18-34,2,2,Catholic,Northeast,1,1
2016,106,89,0,11,Lt High School,White,Female,Middle Atlantic,10,Catholic,Never Married,Lt High School,Lt High School,Strong Democrat,4,Pretty Happy,NA,NA,Cancer,NA,1.5643633629752385,Gt $10000,Age 65+,Age 62+,6+,0,Catholic,Northeast,NA,NA
2016,107,78,0,1,High School,White,Female,Middle Atlantic,16,Catholic,Never Married,Lt High School,Lt High School,Not Str Democrat,4,Pretty Happy,No Partners,Legal,Pisces,2,0.7821816814876192,Gt $30000,Age 65+,Age 62+,1,0,Catholic,Northeast,0,0
